,algorithm,instance,problem size,problem,best fitness,elapsed time in secs
0,NNCO,tai50_10_8,50,PFSP,90228.0,177.23585653305054
1,NNCO,tai200_10_9,200,PFSP,1073565.0,9351.112182855606
5,NNCO,tai20_20_9,20,PFSP,33009.0,16.101200342178345
8,NNCO,tai20_5_9,20,PFSP,13250.0,17.25589895248413
9,NNCO,tai20_20_8,20,PFSP,33928.0,15.782904863357544
11,NNCO,tai50_10_9,50,PFSP,92953.0,103.2124683856964
13,NNCO,tai200_20_8,200,PFSP,1276504.0,13243.93878531456
14,NNCO,tai100_20_8,100,PFSP,392474.0,814.9351575374603
16,NNCO,tai50_10_8,50,PFSP,89221.0,101.79756832122804
19,NNCO,tai20_5_8,20,PFSP,14641.0,13.49168610572815
22,NNCO,tai20_20_9,20,PFSP,33052.0,13.406715631484984
24,NNCO,tai50_10_8,50,PFSP,90225.0,130.31178641319275
26,NNCO,tai200_10_8,200,PFSP,1061022.0,12691.253492355348
27,NNCO,tai20_5_8,20,PFSP,14653.0,12.441766738891602
30,NNCO,tai50_10_9,50,PFSP,92865.0,133.40591287612915
32,NNCO,tai200_10_9,200,PFSP,1072163.0,12051.528814077376
36,NNCO,tai200_10_8,200,PFSP,1063449.0,12662.672568559648
37,NNCO,tai20_5_9,20,PFSP,13303.0,16.214062929153442
46,NNCO,tai100_5_9,100,PFSP,250664.0,1038.76269364357
49,NNCO,tai50_10_8,50,PFSP,89222.0,103.39976525306702
50,NNCO,tai20_20_9,20,PFSP,33052.0,13.164362668991089
52,NNCO,tai100_20_9,100,PFSP,396499.0,906.8402712345124
54,NNCO,tai50_10_8,50,PFSP,89812.0,176.55784463882446
55,NNCO,tai200_20_9,200,PFSP,1295166.0,12096.933135271072
56,NNCO,tai20_5_9,20,PFSP,13265.0,16.945846796035767
58,NNCO,tai50_10_9,50,PFSP,92480.0,138.01830863952637
60,NNCO,tai20_5_8,20,PFSP,14620.0,19.959232568740845
66,NNCO,tai20_10_8,20,PFSP,20985.0,19.967764854431152
68,NNCO,tai20_10_9,20,PFSP,21819.0,20.788124322891235
69,NNCO,tai20_20_9,20,PFSP,33044.0,16.1854350566864
73,NNCO,tai50_20_9,50,PFSP,129809.0,191.396497964859
76,NNCO,tai100_5_9,100,PFSP,250559.0,1042.4826595783234
79,NNCO,tai50_10_9,50,PFSP,92538.0,141.14654898643494
80,NNCO,tai20_20_9,20,PFSP,32984.0,12.317402839660645
84,NNCO,tai100_20_8,100,PFSP,392702.0,1549.2852280139923
85,NNCO,tai100_20_8,100,PFSP,388586.0,1146.2744176387787
88,NNCO,tai200_20_9,200,PFSP,1297050.0,13404.323325395584
90,NNCO,tai50_10_9,50,PFSP,91862.0,177.9331624507904
91,NNCO,tai20_10_8,20,PFSP,20931.0,14.753394603729248
92,NNCO,tai20_10_8,20,PFSP,21095.0,15.482078075408936
95,NNCO,tai50_5_8,50,PFSP,64985.0,137.89476132392883
97,NNCO,tai50_10_8,50,PFSP,88926.0,138.62758660316467
103,NNCO,tai50_5_8,50,PFSP,65146.0,138.88125610351562
105,NNCO,tai50_10_9,50,PFSP,92883.0,132.76145601272583
106,NNCO,tai50_10_9,50,PFSP,93129.0,134.1080174446106
107,NNCO,tai50_5_9,50,PFSP,70493.0,154.09552359580994
108,NNCO,tai50_5_9,50,PFSP,71098.0,142.74652123451233
109,NNCO,tai100_20_8,100,PFSP,389902.0,1564.5601923465729
110,NNCO,tai20_20_9,20,PFSP,33041.0,16.08541202545166
112,NNCO,tai20_5_9,20,PFSP,13298.0,15.073848485946655
113,NNCO,tai100_20_9,100,PFSP,394562.0,1563.2978994846344
114,NNCO,tai100_5_8,100,PFSP,254613.0,1367.1497886180878
115,NNCO,tai200_10_8,200,PFSP,1060143.0,8806.510749578476
116,NNCO,tai200_10_9,200,PFSP,1078750.0,12725.907221794128
119,NNCO,tai100_20_8,100,PFSP,390288.0,1135.826000213623
127,NNCO,tai100_5_8,100,PFSP,255559.0,1065.274064064026
130,NNCO,tai200_10_9,200,PFSP,1074381.0,12752.774422168732
131,NNCO,tai50_5_9,50,PFSP,70678.0,104.7808403968811
132,NNCO,tai50_20_9,50,PFSP,128835.0,193.8508400917053
133,NNCO,tai20_20_8,20,PFSP,33907.0,18.295584440231323
134,NNCO,tai200_20_8,200,PFSP,1274348.0,6887.054694652557
135,NNCO,tai200_10_8,200,PFSP,1062614.0,6423.572518825531
136,NNCO,tai100_5_9,100,PFSP,250668.0,805.2452235221863
142,NNCO,tai50_20_9,50,PFSP,128425.0,193.96015286445615
143,NNCO,tai50_20_8,50,PFSP,127777.0,193.37284421920776
147,NNCO,tai200_20_8,200,PFSP,1281786.0,8161.480438947678
148,NNCO,tai200_10_9,200,PFSP,1073112.0,11209.195808649063
149,NNCO,tai50_5_8,50,PFSP,65118.0,127.747971534729
151,NNCO,tai200_10_8,200,PFSP,1062338.0,12672.436836242676
152,NNCO,tai100_20_8,100,PFSP,391246.0,1437.1622898578644
154,NNCO,tai200_20_9,200,PFSP,1291798.0,13039.079342603683
155,NNCO,tai50_5_8,50,PFSP,64681.0,142.44994854927063
158,NNCO,tai50_5_9,50,PFSP,70287.0,164.73030161857605
159,NNCO,tai20_5_9,20,PFSP,13289.0,16.910951852798462
160,NNCO,tai50_10_9,50,PFSP,92764.0,138.0319426059723
164,NNCO,tai20_5_9,20,PFSP,13309.0,15.232924938201904
167,NNCO,tai200_10_8,200,PFSP,1062041.0,7726.895131349564
168,NNCO,tai200_20_8,200,PFSP,1277306.0,9604.668239593506
177,NNCO,tai200_20_8,200,PFSP,1271789.0,9557.64527273178
