,instance,repetition,algorithm,lambda,alpha,best fitness,evals,elapsed time in secs
0,N-be75eec,5,PL,100,0.01,233330,2413630,14.706
1,N-be75eec,4,PL,10,0.1,234195,1036528,14.456
2,N-be75eec,4,PL,100,0.05,234241,1808624,14.715
3,N-be75eec,3,PL,100,0.05,234045,1782245,14.615
4,N-be75eec,8,PL,100,0.05,234049,1173364,14.654
5,N-be75eec,5,PL,10,0.5,234806,1659949,22.416
6,N-be75eec,3,PL,100,0.1,234192,1334937,14.706
7,N-be75eec,1,PL,100,0.1,234203,1829705,14.711
8,N-be75eec,6,PL,100,0.1,234223,2188107,14.649
9,N-be75eec,2,PL,10,0.75,235265,1165671,21.97
10,N-be75eec,10,PL,10,0.5,235448,2018529,23.327
11,N-be75eec,5,PL,10,0.9,235046,2097183,17.269
12,N-be75eec,9,PL,100,0.05,233927,1426009,14.519
13,N-be75eec,9,PL,100,0.001,228212,2450065,20.455
14,N-be75eec,1,PL,10,0.9,235231,1329147,22.022
15,N-be75eec,7,PL,100,0.05,234076,2161660,14.584
16,N-be75eec,10,PL,100,0.05,234194,2228913,14.632
17,N-be75eec,3,PL,10,0.1,234852,1332748,14.617
18,N-be75eec,1,PL,10,0.01,234122,2423687,27.453
19,N-be75eec,4,PL,100,0.001,229432,2450446,19.914
20,N-be75eec,9,PL,10,0.1,234171,1599491,21.924
23,N-be75eec,2,PL,100,0.01,233330,2336636,14.706
24,N-be75eec,8,PL,100,0.01,233343,2447206,14.624
25,N-be75eec,4,PL,10,0.75,235323,421320,22.315
26,N-be75eec,2,PL,100,0.1,234070,1874908,14.68
27,N-be75eec,8,PL,10,0.01,233971,1216655,28.556
28,N-be75eec,8,PL,10,0.75,235076,2255648,22.41
29,N-be75eec,9,PL,10,0.75,234649,721827,22.267
30,N-be75eec,5,PL,10,0.1,234205,2491718,22.835
31,N-be75eec,5,PL,10,0.001,233067,2349259,27.953
32,N-be75eec,10,PL,100,0.001,229065,2009516,20.508
34,N-be75eec,7,PL,100,0.01,233414,2469242,14.606
35,N-be75eec,1,PL,100,0.01,233393,2410960,14.7
37,N-be75eec,1,PL,10,0.1,234199,1597060,14.443
38,N-be75eec,7,PL,100,0.1,234193,1141588,14.672
39,N-be75eec,7,PL,10,0.05,234176,2024751,28.255
40,N-be75eec,10,PL,10,0.05,234176,1648275,14.433
41,N-be75eec,2,PL,100,0.001,228743,2474224,20.577
