instance,problem,problem size,max evaluations,batch size,noise length,hidden dim,prehead layers,num samples,learning rate,utility function,device,iterations,elapsed time in secs,best fitness,num trainable params
N-stabu70,lop,60,3600000,32,128,128,1,64,0.001,standarized_utility,cuda:0,1757,49.80962777137756,358892.0,24252
tai20_20_8.fsp,pfsp,20,400000,32,256,1024,2,64,0.01,standarized_utility,cuda:0,195,12.44527006149292,35819.0,26470610
N-be75eec_150,lop,150,22500000,32,64,128,1,64,0.0001,standarized_utility,cuda:0,10986,794.2480356693268,3385418.0,27670
N-be75eec,lop,50,2500000,32,64,128,2,64,0.0001,standarized_utility,cuda:0,1220,55.34974479675293,234224.0,31282
N-stabu70,lop,60,3600000,32,128,1024,1,64,0.0001,standarized_utility,cuda:0,1757,110.43946194648743,358945.0,193596
tai100_10_9.fsp,pfsp,100,10000000,32,64,512,1,64,0.01,standarized_utility,cuda:0,4882,1407.6413469314575,306089.0,5918650
tai20_5_8.fsp,pfsp,20,400000,32,256,128,2,64,0.0001,standarized_utility,cuda:0,195,9.875629901885986,15017.0,1015250
tai20_20_8.fsp,pfsp,20,400000,32,128,1024,1,64,0.01,standarized_utility,cuda:0,195,11.612725734710693,34335.0,2857170
tai50_10_9.fsp,pfsp,50,2500000,32,128,1024,1,64,0.001,standarized_utility,cuda:0,1220,99.49228167533875,93631.0,7911675
N-be75eec_150,lop,150,22500000,32,64,1024,2,64,0.01,standarized_utility,cuda:0,10986,809.3074021339417,2924316.0,1269910
N-stabu1_250,lop,250,62500000,32,256,128,1,64,0.0001,standarized_utility,cuda:0,30517,4190.103134632111,7549376.0,65146
N-stabu1_250,lop,250,62500000,32,64,1024,2,64,0.0001,standarized_utility,cuda:0,30517,6438.667162895203,7556352.0,1372410
tai200_10_9.fsp,pfsp,200,40000000,32,256,1024,3,64,0.001,standarized_utility,cuda:0,19531,9767.076142311096,1101843.0,493076100
N-t59b11xx,lop,44,1936000,32,64,512,2,64,0.001,standarized_utility,cuda:0,945,23.736966609954834,208735.0,318508
N-stabu1_250,lop,250,62500000,32,64,128,2,64,0.0001,standarized_utility,cuda:0,30517,4137.576266527176,7559365.0,57082
N-be75eec,lop,50,2500000,32,128,128,2,64,0.0001,standarized_utility,cuda:0,1220,60.701470136642456,234169.0,39474
N-be75eec_150,lop,150,22500000,32,256,128,3,64,0.01,standarized_utility,cuda:0,10986,1489.6085333824158,3201883.0,85270
N-stabu1_250,lop,250,62500000,32,128,1024,3,64,0.01,standarized_utility,cuda:0,30517,6656.465995550156,6482815.0,2487546
tai20_5_8.fsp,pfsp,20,400000,32,128,512,3,64,0.0001,standarized_utility,cuda:0,195,16.458142042160034,14608.0,11934930
