instance,repetition,algorithm,best fitness,elapsed time in secs,pop size,trunc size
N-be75eec,2819618,PLEDA,233435.000,117.610,50,10
N-t59b11xx,920889,PLEDA,208145.000,1464.175,4400,2200
N-be75eec,225964,PLEDA,232697.000,587.188,500,100
N-stabu70,4015954,PLEDA,357806.000,982.327,600,120
N-stabu70,622056,PLEDA,358806.000,2437.504,600,300
N-stabu1_250,7732149,PLEDA,7467386.000,329634.330,2500,750
N-stabu70,469593,PLEDA,354034.000,174.067,60,12
N-stabu70,5817871,PLEDA,356340.000,1369.717,600,120
N-be75eec_150,1117857,PLEDA,3274918.000,10044.238,150,45
N-be75eec_150,924773,PLEDA,3321526.000,58260.713,15000,7500
N-be75eec_150,614915,PLEDA,3351670.000,92523.110,1500,750
N-stabu1_250,7311722,PLEDA,7270928.000,52735.554,250,50
N-stabu1_250,8923836,PLEDA,7451751.000,207994.728,25000,7500
N-be75eec_150,289486,PLEDA,3258504.000,5273.805,150,30
N-stabu70,1714985,PLEDA,358152.000,2407.388,6000,1800
N-be75eec,7821124,PLEDA,233172.000,1455.262,500,250
N-t59b11xx,8524083,PLEDA,207495.000,346.805,440,88
N-be75eec,8420404,PLEDA,234671.000,731.676,50,25
N-t59b11xx,469132,PLEDA,205980.000,40.167,44,8
N-be75eec_150,1815561,PLEDA,3337911.000,71255.403,15000,7500
N-stabu70,151164,PLEDA,356700.000,2452.397,600,300
N-be75eec,3318614,PLEDA,232860.000,1746.977,500,250
N-be75eec_150,4218156,PLEDA,3342681.000,44669.742,1500,750
N-stabu70,4017382,PLEDA,359263.000,991.310,600,120
N-stabu1_250,4426779,PLEDA,7458317.000,196962.723,25000,7500
N-stabu70,35454,PLEDA,356222.000,2054.403,60,30
N-be75eec,8124339,PLEDA,232960.000,1431.624,5000,2500
N-be75eec,4630313,PLEDA,232704.000,159.414,50,10
N-be75eec,5024413,PLEDA,233570.000,782.180,500,150
N-stabu1_250,36544,PLEDA,7390970.000,166739.946,250,125
N-t59b11xx,345797,PLEDA,208295.000,369.823,4400,880
N-stabu1_250,3110758,PLEDA,7452218.000,250812.719,2500,500
N-be75eec_150,1329645,PLEDA,3351278.000,16853.592,1500,300
N-be75eec,8893,PLEDA,233101.000,819.986,5000,1500
N-be75eec,4210404,PLEDA,233964.000,1452.627,500,250
N-stabu70,36266,PLEDA,357928.000,3002.645,6000,3000
N-stabu70,3332026,PLEDA,357757.000,2436.244,600,300
N-stabu70,430393,PLEDA,358008.000,1552.515,600,120
N-t59b11xx,1731466,PLEDA,208145.000,918.926,4400,1320
N-be75eec_150,72421,PLEDA,3345433.000,57535.057,15000,3000
N-t59b11xx,187994,PLEDA,208145.000,2139.650,4400,2200
N-stabu70,198764,PLEDA,353769.000,188.569,60,12
N-be75eec,7727080,PLEDA,233964.000,866.508,500,150
N-stabu1_250,3817320,PLEDA,7375599.000,83710.567,250,75
N-stabu70,4430149,PLEDA,358054.000,1460.767,6000,1800
N-stabu1_250,2817995,PLEDA,7270078.000,50269.717,250,50
N-be75eec,93559,PLEDA,233117.000,1386.733,5000,2500
N-be75eec,5524622,PLEDA,232229.000,149.800,50,10
N-stabu70,61110,PLEDA,358591.000,3600.764,600,300
N-stabu70,539162,PLEDA,358126.000,1446.724,6000,1800
N-be75eec,5317534,PLEDA,233279.000,841.363,5000,1500
N-stabu1_250,224817,PLEDA,7297315.000,159547.162,250,75
N-t59b11xx,5112401,PLEDA,208425.000,985.260,440,220
N-be75eec_150,1011903,PLEDA,3249481.000,8766.672,150,30
N-stabu70,116930,PLEDA,353539.000,281.722,60,12
N-be75eec_150,8929620,PLEDA,3338394.000,81661.052,15000,4500
N-be75eec,869065,PLEDA,233878.000,877.010,500,150
N-stabu1_250,8227395,PLEDA,7295883.000,52651.993,250,50
N-be75eec,5114578,PLEDA,233240.000,1457.354,500,250
N-stabu1_250,1828597,PLEDA,7446418.000,308680.196,25000,12500
N-be75eec,636447,PLEDA,233116.000,1465.076,5000,2500
N-stabu70,211622,PLEDA,355753.000,421.950,60,18
N-be75eec,3510803,PLEDA,233097.000,1177.940,5000,1500
N-be75eec_150,685262,PLEDA,3338325.000,24147.139,1500,450
N-stabu70,7429988,PLEDA,355868.000,841.474,60,18
N-be75eec_150,3316267,PLEDA,3327282.000,76979.257,1500,750
N-be75eec_150,2429456,PLEDA,3316181.000,43454.214,1500,750
N-t59b11xx,109415,PLEDA,204670.000,38.060,44,8
N-stabu70,113904,PLEDA,355422.000,205.729,60,12
N-stabu70,32055,PLEDA,356609.000,1547.343,60,30
N-stabu1_250,1722584,PLEDA,7451677.000,221427.007,25000,7500
N-t59b11xx,655685,PLEDA,207000.000,67.639,44,13
N-stabu70,718369,PLEDA,357805.000,941.569,6000,1200
N-stabu1_250,6527858,PLEDA,7321327.000,91366.974,250,75
N-stabu70,5727065,PLEDA,356531.000,2125.052,60,30
N-stabu70,3613001,PLEDA,357758.000,2568.890,6000,3000
N-stabu70,797260,PLEDA,357809.000,1422.154,6000,1200
N-t59b11xx,786316,PLEDA,207705.000,987.752,440,220
N-stabu70,854333,PLEDA,357978.000,1561.363,600,120
N-stabu1_250,364119,PLEDA,7439828.000,309794.260,25000,12500
N-be75eec_150,7311937,PLEDA,3255714.000,6758.497,150,30
N-stabu1_250,465255,PLEDA,7246987.000,30187.203,250,50
N-stabu1_250,475234,PLEDA,7335690.000,83106.661,250,75
N-stabu1_250,4121047,PLEDA,7458876.000,174456.881,2500,750
N-stabu1_250,632612,PLEDA,7443369.000,248116.975,2500,1250
N-be75eec,7611135,PLEDA,234094.000,592.962,500,100
N-stabu70,5929037,PLEDA,358615.000,1951.306,600,180
N-t59b11xx,5928201,PLEDA,209115.000,580.252,440,132
N-stabu1_250,113749,PLEDA,7290386.000,53004.717,250,50
N-stabu1_250,84962,PLEDA,7439126.000,335216.573,25000,7500
N-stabu70,2721508,PLEDA,358128.000,2927.463,6000,3000
N-be75eec_150,296321,PLEDA,3249006.000,17972.400,150,45
N-be75eec,8912349,PLEDA,233097.000,815.565,5000,1500
N-stabu1_250,4514737,PLEDA,7440875.000,314072.838,25000,12500
N-be75eec,3413007,PLEDA,233120.000,756.790,5000,1000
N-t59b11xx,437261,PLEDA,208145.000,516.538,4400,880
N-stabu70,4315479,PLEDA,357854.000,963.379,6000,1200
N-be75eec_150,172510,PLEDA,3336050.000,43175.933,15000,4500
N-be75eec,2320042,PLEDA,233362.000,887.170,500,150
N-stabu70,3121868,PLEDA,357348.000,985.195,600,120
N-be75eec,727750,PLEDA,233252.000,558.743,5000,1000
N-stabu70,5011472,PLEDA,358063.000,1453.798,600,180
N-stabu1_250,3218295,PLEDA,7454424.000,175750.870,2500,750
N-t59b11xx,289480,PLEDA,206465.000,60.746,44,8
N-t59b11xx,4729046,PLEDA,207110.000,68.080,44,13
N-t59b11xx,9014230,PLEDA,208145.000,885.141,4400,2200
N-be75eec_150,4729434,PLEDA,3262202.000,19733.453,150,45
N-stabu70,6920289,PLEDA,357262.000,2223.312,600,300
N-be75eec_150,5922218,PLEDA,3347199.000,25668.289,1500,450
N-stabu1_250,831757,PLEDA,7318546.000,89089.862,250,75
N-t59b11xx,614778,PLEDA,208425.000,985.964,440,220
N-stabu1_250,1921037,PLEDA,7271397.000,55567.913,250,50
N-be75eec_150,7828500,PLEDA,3331458.000,72872.110,1500,750
N-be75eec_150,3027305,PLEDA,3292771.000,39074.457,150,75
N-be75eec,216230,PLEDA,232951.000,355.197,50,15
N-be75eec_150,849841,PLEDA,3316281.000,39629.109,150,75
N-stabu70,915826,PLEDA,357695.000,2511.971,6000,3000
N-t59b11xx,7319598,PLEDA,206260.000,36.424,44,8
N-stabu70,6720082,PLEDA,358819.000,1177.266,600,120
N-stabu70,3011205,PLEDA,356689.000,2240.227,60,30
N-stabu1_250,561520,PLEDA,7349532.000,78103.675,250,75
N-t59b11xx,2121935,PLEDA,207865.000,342.409,44,22
N-be75eec_150,8013989,PLEDA,3333122.000,49948.273,15000,4500
N-be75eec_150,783137,PLEDA,3327858.000,43173.448,1500,750
N-be75eec,2921963,PLEDA,233059.000,220.809,50,15
N-stabu70,7026066,PLEDA,358019.000,1635.198,6000,1200
N-t59b11xx,128261,PLEDA,206320.000,60.801,44,8
N-be75eec,2519202,PLEDA,233120.000,534.066,5000,1000
N-be75eec,2725061,PLEDA,233116.000,2341.946,5000,2500
N-stabu1_250,7919012,PLEDA,7461260.000,156644.768,25000,5000
N-stabu70,7012252,PLEDA,357817.000,981.180,6000,1200
N-be75eec_150,7517513,PLEDA,3274028.000,38487.400,150,75
N-be75eec,5023020,PLEDA,234046.000,886.082,500,150
N-stabu70,477718,PLEDA,353595.000,498.526,60,18
N-t59b11xx,1531963,PLEDA,209130.000,1289.070,440,220
N-be75eec_150,506429,PLEDA,3335487.000,37382.495,1500,450
N-be75eec_150,6013898,PLEDA,3348021.000,80134.148,1500,750
N-stabu1_250,5613361,PLEDA,7316370.000,115161.575,250,75
N-t59b11xx,3724434,PLEDA,206085.000,40.412,44,8
N-stabu70,45173,PLEDA,357566.000,2572.629,6000,3000
N-stabu1_250,8824520,PLEDA,7441928.000,302469.626,25000,5000
N-t59b11xx,925988,PLEDA,208145.000,901.043,4400,2200
N-t59b11xx,538132,PLEDA,208145.000,535.185,4400,1320
N-be75eec,8319133,PLEDA,233748.000,201.579,50,15
N-be75eec,8130247,PLEDA,233110.000,1329.036,5000,2500
N-stabu1_250,3720717,PLEDA,7275657.000,35133.877,250,50
N-stabu70,3530625,PLEDA,357714.000,1487.395,6000,1800
N-be75eec_150,242823,PLEDA,3333745.000,83789.263,1500,750
N-stabu1_250,517469,PLEDA,7476794.000,164366.430,2500,750
N-be75eec,644734,PLEDA,232113.000,81.597,50,10
N-stabu1_250,691022,PLEDA,7438963.000,264036.733,2500,1250
N-stabu1_250,7727,PLEDA,7440295.000,246421.853,25000,5000
N-t59b11xx,5526445,PLEDA,206070.000,40.933,44,8
N-be75eec,405433,PLEDA,234005.000,593.004,500,100
N-stabu70,838494,PLEDA,355861.000,692.509,60,18
N-stabu70,7431054,PLEDA,354993.000,458.640,60,18
N-be75eec_150,5618904,PLEDA,3262117.000,10987.350,150,45
N-be75eec_150,2318667,PLEDA,3333343.000,24394.507,1500,450
