algorithm,instance,instance size,pop size,trunc size,max iters,iteration,best fitness,elapsed time in secs
rk-eda,tai20_5_8,20,20,6,40000,40000,16189,1
rk-eda,tai20_5_8,20,200,60,40000,40000,15856,10
rk-eda,tai20_5_8,20,20,6,40000,40000,16224,1
rk-eda,tai20_20_8,20,2000,600,40000,40000,35267,151
rk-eda,tai50_10_9,50,500,100,250000,250000,103709,322
rk-eda,tai50_10_9,50,500,250,250000,250000,103818,328
rk-eda,tai20_20_8,20,2000,400,40000,40000,35205,151
rk-eda,tai20_5_8,20,2000,1000,40000,40000,15677,93
rk-eda,tai50_10_9,50,50,15,250000,250000,103454,33
rk-eda,tai20_20_8,20,200,60,40000,40000,35753,15
rk-eda,tai20_20_8,20,200,100,40000,40000,35435,15
rk-eda,tai100_10_9,100,10000,2000,1000000,1000000,352531,56854
rk-eda,tai20_5_8,20,200,100,40000,40000,15690,10
rk-eda,tai200_10_9,200,2000,600,4000000,4000000,1241205,78865
rk-eda,tai20_5_8,20,20,4,40000,40000,15945,1
rk-eda,tai100_10_9,100,1000,300,1000000,1000000,351705,10086
rk-eda,tai20_20_8,20,200,100,40000,40000,35696,14
rk-eda,tai100_10_9,100,100,50,1000000,1000000,352880,875
rk-eda,tai100_10_9,100,10000,3000,1000000,1000000,352701,46440
rk-eda,tai50_10_9,50,5000,2500,250000,250000,102715,3014
rk-eda,tai100_10_9,100,10000,3000,1000000,1000000,347911,86555
rk-eda,tai20_5_8,20,2000,400,40000,40000,15413,100
rk-eda,tai200_10_9,200,2000,400,4000000,4000000,1249438,78342
rk-eda,tai50_10_9,50,500,150,250000,250000,103353,572
rk-eda,tai50_10_9,50,50,25,250000,250000,105941,32
rk-eda,tai50_10_9,50,5000,1000,250000,250000,102293,3222
rk-eda,tai20_20_8,20,20,6,40000,40000,36247,1
rk-eda,tai200_10_9,200,200,60,4000000,4000000,1252414,13367
rk-eda,tai50_10_9,50,5000,1500,250000,250000,102620,5616
rk-eda,tai200_10_9,200,200,60,4000000,4000000,1260664,7671
rk-eda,tai200_10_9,200,2000,400,4000000,4000000,1250981,124906
rk-eda,tai100_10_9,100,100,20,1000000,1000000,357592,1023
rk-eda,tai50_10_9,50,5000,1500,250000,250000,101569,3244
rk-eda,tai100_10_9,100,100,20,1000000,1000000,356311,522
rk-eda,tai100_10_9,100,10000,5000,1000000,1000000,353467,45978
rk-eda,tai20_20_8,20,2000,600,40000,40000,35227,151
rk-eda,tai100_10_9,100,10000,5000,1000000,1000000,352570,49258
rk-eda,tai20_5_8,20,20,10,40000,40000,16472,1
rk-eda,tai100_10_9,100,100,20,1000000,1000000,354342,748
rk-eda,tai100_10_9,100,10000,3000,1000000,1000000,349522,46666
rk-eda,tai20_20_8,20,20,4,40000,40000,35897,2
rk-eda,tai200_10_9,200,2000,600,4000000,4000000,1250597,125517
rk-eda,tai50_10_9,50,50,25,250000,250000,104419,34
rk-eda,tai20_5_8,20,2000,1000,40000,40000,15633,54
rk-eda,tai50_10_9,50,50,25,250000,250000,104968,32
rk-eda,tai200_10_9,200,200,60,4000000,4000000,1254854,13525
rk-eda,tai20_5_8,20,200,100,40000,40000,15987,10
rk-eda,tai50_10_9,50,50,15,250000,250000,104131,32
rk-eda,tai100_10_9,100,100,20,1000000,1000000,354303,1059
rk-eda,tai20_20_8,20,2000,1000,40000,40000,35274,153
rk-eda,tai200_10_9,200,200,100,4000000,4000000,1258138,7633
rk-eda,tai50_10_9,50,5000,2500,250000,250000,101632,3332
rk-eda,tai20_20_8,20,2000,400,40000,40000,34975,273
rk-eda,tai100_10_9,100,100,50,1000000,1000000,353516,997
rk-eda,tai20_5_8,20,2000,600,40000,40000,15666,104
rk-eda,tai100_10_9,100,100,30,1000000,1000000,356903,887
rk-eda,tai20_5_8,20,20,6,40000,40000,16148,1
rk-eda,tai20_5_8,20,20,6,40000,40000,16148,1
