id,date,problem,instance,iterations,model,pop size,trunc size,min,elapsed time in secs
000d0ef8-a24d-4c33-9a95-6bdaf77f573b,2023-9-28 15:57,PFSP,tai20_5_8.fsp,2000,vj-inv,2000,0.5,14515,112
0063c3b8-f7e5-4075-8ff6-0b1919021aa6,2023-9-28 10:37,PFSP,tai200_10_9.fsp,20000,vj-inv,20000,0.5,1079435,68194
00913804-fcf5-4e5f-836a-293b2805eef5,2023-9-27 13:29,PFSP,tai50_10_9.fsp,5000,vj-inv,50,0.3,99542,2
00f70346-ae91-4cdd-82dd-3b5f75b1544c,2023-9-28 16:22,PFSP,tai200_10_9.fsp,20000,vj-inv,200,0.3,1211641,283
00fcb947-fbd4-4727-a105-0c369e5c5dae,2023-9-28 16:46,PFSP,tai50_10_9.fsp,5000,vj-inv,5000,0.3,90261,2040
0113e77c-61bc-4ae5-ae21-6772265154c3,2023-9-28 16:13,PFSP,tai100_10_9.fsp,10000,vj-inv,100,0.5,337964,29
01746d48-8b2f-4e33-b9a6-5994708e3d4b,2023-9-28 16:14,PFSP,tai20_20_8.fsp,2000,vj-inv,2000,0.2,33644,133
0196c15b-ad26-4f4f-a1cc-41bb4ac8cbc4,2023-9-27 13:30,PFSP,tai20_20_8.fsp,2000,vj-inv,2000,0.3,33600,79
01a50db2-671d-4915-9979-4b657086f6b4,2023-9-27 13:29,PFSP,tai20_5_8.fsp,2000,vj-inv,200,0.5,14377,2
01d1d3cd-09b0-49c3-bb21-9d686caa5407,2023-9-28 15:55,PFSP,tai20_5_8.fsp,2000,vj-inv,200,0.5,14515,2
01e83934-1636-4a75-8baf-101ca1055f65,2023-9-27 13:29,PFSP,tai50_10_9.fsp,5000,vj-inv,50,0.3,100144,2
01f5fa5d-a688-4bc4-962d-2c3b50db6006,2023-9-28 16:13,PFSP,tai20_20_8.fsp,2000,vj-inv,2000,0.5,33644,68
02c7bb54-9380-4b9b-9c38-14bc2ac9984b,2023-9-27 13:29,PFSP,tai20_20_8.fsp,2000,vj-inv,200,0.3,33850,3
02e6269a-444f-4055-bc0f-ea3fce4f6d0f,2023-9-28 16:13,PFSP,tai50_10_9.fsp,5000,vj-inv,500,0.5,90953,29
0337e693-8884-48ed-9e87-31780a3a2b38,2023-9-27 15:41,PFSP,tai100_10_9.fsp,10000,vj-inv,100,0.5,335759,45
03707798-c768-4a9f-bee2-4bbd6e07c967,2023-9-28 17:33,PFSP,tai200_10_9.fsp,20000,vj-inv,2000,0.2,1151064,4710
04472a5b-5bcf-4834-b28b-e7c11c856606,2023-9-27 13:31,PFSP,tai20_5_8.fsp,2000,vj-inv,2000,0.3,14515,148
045be7d4-671c-4312-ae34-de19264305a2,2023-9-28 16:20,PFSP,tai100_10_9.fsp,10000,vj-inv,1000,0.2,321209,429
045d6f5e-fdf5-42f8-839e-44a957fd7e5d,2023-9-27 15:41,PFSP,tai100_10_9.fsp,10000,vj-inv,100,0.3,343615,40
